"Clientes-Produtores","Dia","Prod1","Prod2","Prod3","Prod4","Prod5","Prod6","Prod7","Prod8","Prod9","Prod10","Prod11","Prod12"
"C1",1,0,0,0,0,5,2,0,0,0,0,2.5,0
"C3",1,10,0,0,0,9,2.5,0,0,4.5,0,0,0
"C1",2,4.5,6,3.5,0,4,0,9,3,0,5.5,1.5,0
"C3",2,10,0,0,0,0,0,6,0,7.5,0,2.5,3.5
"C1",3,8,0,9.5,2,0,0,9.5,0,2,9.5,0,6
"C3",3,0,0,0,0,0,0,0,0,0,0,0,0
"C1",4,0,4.5,0,0,9,9.5,0,0,0,0,5.5,9
"C3",4,1,0,0,0,2.5,7.5,0,0,0,4,0,0
"C1",5,8,7,9,0,0,0,1.5,6,0,3,6.5,3.5
"C3",5,0,5,0,0,0,5,4.5,0,0,5,2.5,0
"E3",1,0,0,0,0,0,10,0,0,5,0,5.5,0
"E4",1,6.5,0,6.5,0,1,0,0,0,0,1,5.5,0
"E5",1,0,1.5,0,0,0,8,9.5,0,0,0,6,0
"E3",2,0,0,0,0,0,0,0,0,0,0,0,0
"E4",2,0,0,0,0,0,0,0,0,0,0,0,0
"E5",2,8.5,5,0,3.5,0,5,1,9.5,0,0,1.5,2.5
"E3",3,0,0,0,0,0,0,0,0,0,0,0,0
"E4",3,0,1.5,0,0,0,2,6.5,2.5,0,0,0,0
"E5",3,1,0,0,4.5,1,0,0,0,0,0,2.5,8.5
"E3",4,0,0,9.5,10,0,0,0,0,0,8,0,3
"E4",4,0,0,0,0,0,0,0,0,0,0,0,0
"E5",4,0,0,0,0,0,0,0,0,0,0,0,0
"E3",5,0,0,7.5,5.5,0,9,2,0,8,0,0,0
"E4",5,0,0,0,4.5,3,4,0,0,5.5,1,0,0
"E5",5,6,0,0,0,0,0,8.5,2,8.5,10,0,1.5
"P2",1,7.5,6.5,1.5,7,4,2.5,4.5,3.5,1,0,0,0
"P2",2,0,0,2.5,0,5,7.5,8.5,0,3,0,0,8.5
"P2",3,6,0,6,1.5,4,0,6,8.5,0,3,1.5,0
"P2",4,0,0,0,0,0,0,0,0,0,0,0,0
"P2",5,2,5.5,0,0,1,0,3,1.5,5,7,4,10
"P3",1,2.5,2,0,0,1.5,8,9,6,3.5,4,3,2.5
"P3",2,9.5,0,4.5,4.5,0,0,0,0,8.5,7.5,0,0
"P3",3,7.5,0,0,8.5,2.5,7,5,0,0,1,6,0
"P3",4,0,0,0,0,0,0,0,0,0,0,0,0
"P3",5,0,0,0,7.5,0,0,0,4,6.5,0,8.5,4.5
